Share,PTS,W/L%,seed,player_efficiency_rating,free_throw_attempt_rate,usage_percentage,win_shares_per_48_minutes,offensive_box_plus_minus,value_over_replacement_player
0.016,19.4,0.512,7.0,19.4,0.518,23.0,0.169,1.5,3.5
0.013,23.7,0.305,11.0,22.8,0.315,26.0,0.164,3.8,3.2
0.012,16.5,0.646,2.5,16.1,0.341,22.5,0.132,-0.2,1.1
0.007,8.4,0.622,3.0,13.8,0.471,17.7,0.096,-2.9,0.7
0.005,21.9,0.537,5.0,20.3,0.34,29.1,0.163,2.8,3.1
0.005,22.9,0.451,8.0,18.9,0.337,26.1,0.115,1.9,3.0
0.004,20.1,0.549,6.5,18.1,0.31,23.7,0.128,2.4,2.4
0.004,20.0,0.585,4.0,20.5,0.267,25.8,0.148,3.6,4.3
0.003,19.0,0.524,6.0,18.8,0.377,24.2,0.127,1.3,2.6
0.002,21.4,0.622,3.0,21.1,0.253,25.7,0.18,4.2,4.7
0.001,15.1,0.707,1.0,13.9,0.15,20.9,0.069,-0.2,0.0
0.001,26.7,0.549,6.5,21.8,0.364,24.9,0.182,4.4,3.2
0.858,24.2,0.756,1.0,24.2,0.273,26.7,0.215,5.6,7.3
0.491,26.3,0.573,5.0,22.7,0.403,28.7,0.218,4.6,4.3
0.401,17.6,0.659,1.0,22.6,0.459,19.5,0.191,4.8,5.6
0.201,21.5,0.659,1.0,21.3,0.318,25.1,0.163,2.8,3.3
0.151,21.3,0.598,4.0,20.9,0.365,25.4,0.144,4.0,5.1
0.129,22.4,0.634,2.0,22.9,0.365,27.2,0.18,4.3,5.3
0.116,30.6,0.549,3.0,24.6,0.658,28.2,0.235,5.8,4.7
0.092,20.9,0.61,3.0,19.8,0.555,22.2,0.198,3.7,4.7
0.05,22.2,0.427,8.0,19.6,0.614,23.0,0.144,1.9,3.6
0.046,22.7,0.634,2.0,21.8,0.66,26.4,0.175,2.0,1.8
0.037,29.5,0.524,4.0,23.5,0.352,33.4,0.149,5.0,4.1
0.012,17.3,0.598,4.0,19.2,0.35,18.2,0.181,2.5,2.7
0.011,13.2,0.549,3.0,18.0,0.259,16.9,0.138,1.8,3.5
0.001,22.3,0.341,9.0,18.8,0.358,31.3,0.107,2.3,2.0
0.001,20.7,0.61,3.0,19.4,0.264,25.2,0.152,2.9,3.8
0.978,28.7,0.768,1.0,26.5,0.26,28.5,0.238,6.8,8.7
0.338,18.3,0.756,1.0,23.2,0.516,20.5,0.22,5.8,6.1
0.279,24.6,0.707,3.0,22.5,0.704,26.8,0.193,3.0,2.7
0.264,22.0,0.756,1.0,22.9,0.327,24.3,0.204,3.9,4.8
0.177,23.6,0.72,2.0,22.1,0.302,28.8,0.189,3.6,4.3
0.172,28.2,0.463,7.0,25.8,0.459,29.8,0.213,5.8,7.4
0.09,32.9,0.293,10.0,25.2,0.424,35.1,0.166,6.1,3.6
0.083,21.7,0.72,2.0,20.1,0.472,23.6,0.197,3.8,4.7
0.081,21.2,0.561,4.0,22.2,0.35,24.0,0.173,5.1,6.5
0.033,22.1,0.585,3.0,17.4,0.299,25.9,0.096,-0.3,1.8
0.028,23.3,0.634,2.0,21.8,0.449,24.1,0.185,4.2,3.4
0.015,27.9,0.634,2.0,21.6,0.255,29.3,0.146,4.1,3.5
0.015,20.6,0.585,3.0,21.1,0.438,23.5,0.168,1.7,3.0
0.014,20.1,0.512,5.0,19.8,0.213,24.0,0.134,2.5,4.8
0.006,17.8,0.707,3.0,16.2,0.388,23.3,0.118,1.7,1.4
0.005,9.7,0.5,6.5,13.6,0.397,14.1,0.093,-3.1,2.3
0.004,16.1,0.72,2.0,17.6,0.45,19.2,0.16,2.6,4.5
0.004,18.5,0.378,10.0,20.4,0.417,22.2,0.166,2.4,3.9
0.004,27.4,0.415,9.0,20.9,0.319,32.5,0.121,3.1,3.2
0.003,22.5,0.439,8.0,19.7,0.309,29.4,0.127,3.7,2.8
0.003,28.0,0.268,12.0,18.9,0.344,29.1,0.097,2.5,2.0
0.001,17.2,0.512,5.0,19.7,0.253,23.5,0.141,2.9,4.1
0.001,20.0,0.707,3.0,20.0,0.358,26.0,0.144,3.0,3.5
0.981,25.8,0.817,1.0,25.6,0.306,27.6,0.244,6.6,8.4
0.522,30.3,0.61,4.0,23.3,0.372,32.9,0.17,4.6,4.8
0.263,18.8,0.756,1.0,24.0,0.473,21.6,0.226,6.0,5.7
0.247,23.5,0.622,2.0,24.2,0.453,25.6,0.186,2.9,3.8
